구분,상담 주제,발화 주체,발화 내용,,,,,,,,,,,
,,학생,"그냥 집에 가서 게임하고, 영화 보기? 종종 운동도 하긴 해요",,,,,,,,,,,
,,선생님,그렇구나. 혹시 예전에 생각해 봤던 진로가 있을까?,,,,,,,,,,,
,,학생,없는데요. 근데 대학은 가야하잖아요.,,,,,,,,,,,
,,선생님,00이가 어떤 대학이나 학과를 가야할지 막연해서 답답했을 것 같아. 너무 막연하다면 자신이 어떤 걸 좋아하고 잘 하는지 찾아보는 것부터 시작하면 돼. 이번엔 진단검사를 해서 00이가 어떤 사람인지를 확인해보자. ,,,,,,,,,,,
,,학생,알겠어요,,,,,,,,,,,
,,선생님,너무 조급해하지말고 차근차근히 찾아가보자. ,,,,,,,,,,,
,,학생,네,,,,,,,,,,,
040,자아 탐색,학생,"쌤 저는 화학이랑 생명과학을 제일 좋아해서 관련된 학과를 가려고 생각중인데요, 어떻게 하면 더 구체적으로 진로를 정할 수 있을까요?",,,,,,,,,,,
,,선생님,00이는 화학이랑 생명과학 중심으로 진로를 찾고 있구나. 구체적인 직업이나 학과에 대해서 찾아본 적이 있니?,,,,,,,,,,,
,,학생,"자연 과학이나 화학공학과, 생명공학과도 있었고, 제약같이 메디컬 계열도 있는건 아는데 구체적으로 정한 건 없어요.",,,,,,,,,,,
,,선생님,그렇구나. 특별히 화학이랑 생명과학 공부 외에도 따로 관련된 활동은 하는 것은 없어?,,,,,,,,,,,
,,학생,네. 일단 수업 중에는 그 두개가 제일 관심있어서 관련된 학과나 직업이면은 다 알아보고 나서 하고 싶어서요,,,,,,,,,,,
,,선생님,관련된 분야면 전부 관심이 있다는 말이지? 선생님 생각엔 직업관련 검사를 해보면 00이한테 맞는 직업을 또 알아볼 수 있으니까 해보면 좋을 것 같아.,,,,,,,,,,,
,,학생,네 근데 저는 구체적으로 뭘 잘하고 잘 할 수 있을지 알아보고 싶어요,,,,,,,,,,,
,,선생님,그래 그러면 선생님이 진단검사랑 지금 00이가 말한 직업이나 학과정보도 함께 준비해서 상담하면 더 도움이 될 것 같아.,,,,,,,,,,,
,,학생,네 알겠습니다.,,,,,,,,,,,
041,(진학) 학업,선생님,어서 오렴. 그동안 잘 지냈지? 오늘은 뭘 도와줄까?,,,,,,,,,,,
,,학생,"선생님~  부모님께서 제가 의대에 진학하면 좋겠다고 하시고, 저도 의대에 관심이 있는데, 어떻게 학생부와 세특관리를 해야할 지 모르겠어요",,,,,,,,,,,
,,선생님,"은서가 의대에 관심이 있구나~  그럼 의대에 대해서는 언제부터 관심이 있었고, 그동안은 어떻게 준비했니?",,,,,,,,,,,
,,학생,"관심은 중학교때부터 있었구, 그동안 공부 이외에는 준비를 한 것은 없어요.",,,,,,,,,,,
,,선생님,"럼 요새 의대가겠다는학생도 많고, 대학에서 지원자를 선발하는 방법도 여러가지가 있어서 은서에게 맞는 학생부, 교과활동에 대해 선생님과 함께 알아볼까?",,,,,,,,,,,
042,(진학) 학업,선생님,어서 오렴. 그동안 잘 지냈지? 오늘은 뭘 도와줄까?,,,,,,,,,,,
,,학생,선생님. 제가 스카이대학을 가고 싶은데요. 지금부터 얼마나 어떻게 공부하면 좋을지요,,,,,,,,,,,
,,선생님,오~ 우리 은서가 드디어 목표를 정했구나. 멋진 걸~  스카이 대학에 가겠다니 공부를 열심히 해야할텐데…,,,,,,,,,,,
,,학생,부모님과 주위에 도와주시는 분들과 함께 열심히 공부해 보려구요,,,,,,,,,,,
,,선생님,"그럼, 선생님과 함께 내신, 수능, 학생부 준비 등에 대해 하나씩 하나씩 알아가면서 차근히 준비해볼까? ",,,,,,,,,,,
043,(진학) 학업,선생님,"학업에 대한 고민이 있다고 했는데, 구체적으로 어떤 부분이 가장 어려운가요?",,,,,,,,,,,
,,학생,공부는 열심히 하는데 성적이 잘 오르지 않아서 답답해요.,,,,,,,,,,,
,,선생님,어느 과목에서 특히 어려움을 느끼고 있나요?,,,,,,,,,,,
,,학생,"수학이 가장 어렵고, 성적도 잘 안 나와요.",,,,,,,,,,,
,,선생님,수학은 기초가 중요한 과목이에요. 기본 개념은 잘 이해하고 있나요?,,,,,,,,,,,
,,학생,"개념은 이해한다고 생각했는데, 문제를 풀 때는 잘 안 풀려요.",,,,,,,,,,,
,,선생님,그럼 문제를 푸는 방식에 변화를 줄 필요가 있겠네요. 문제를 푼 후에 오답 노트를 작성해보는 건 어때요?,,,,,,,,,,,
,,학생,"오답 노트는 해본 적이 없는데, 효과가 있을까요?",,,,,,,,,,,
,,선생님,오답 노트는 자신의 약점을 파악하고 보완하는 데 큰 도움이 돼요. 틀린 문제를 다시 풀어보면서 왜 틀렸는지 생각해보는 거죠.,,,,,,,,,,,
,,학생,한 번 해봐야겠어요. 그런데 시간이 너무 오래 걸리지 않을까요?,,,,,,,,,,,
,,선생님,"처음엔 시간이 걸리겠지만, 익숙해지면 공부 효율이 훨씬 좋아질 거예요.",,,,,,,,,,,
044,(진학) 학업,선생님,오답 노트 작성은 해봤나요?,,,,,,,,,,,
,,학생,"네, 몇 번 해봤는데 시간이 좀 걸리긴 했어요.",,,,,,,,,,,
,,선생님,그래도 꾸준히 하다 보면 성적이 오르는 걸 느낄 수 있을 거예요.,,,,,,,,,,,
,,학생,"네, 더 열심히 해볼게요. 그런데 내신 관리도 신경 써야 하는데, 어떻게 하면 좋을까요?",,,,,,,,,,,
,,선생님,내신 관리는 꾸준한 복습이 중요해요. 시험 기간만 집중하기보다는 매일 조금씩 공부하는 습관을 들이는 게 좋아요.,,,,,,,,,,,
,,학생,"매일 공부하는 건 어렵지만, 시도해볼게요.",,,,,,,,,,,
,,선생님,처음엔 적은 양부터 시작해서 점차 늘려가면 될 거예요. 작은 성공을 쌓아가는 것이 중요하니까요.,,,,,,,,,,,
,,학생,알겠습니다. 내신도 신경 쓰면서 공부할게요.,,,,,,,,,,,
,,선생님,그렇게 꾸준히 노력하면 좋은 결과를 얻을 수 있을 거예요.,,,,,,,,,,,
,,학생,"네, 열심히 해보겠습니다!",,,,,,,,,,,
045,(진학) 학업,학생,"안녕하세요, 선생님. 학교생활기록부 관리에 대해 여쭤보고 싶어서요. 어떤 활동들을 기록하는 게 좋을까요?",,,,,,,,,,,
,,선생님,"학교생활기록부는 교과 성적뿐만 아니라, 각종 활동과 교과목 세부능력 특기사항이 매우 중요해요. 본인의 진로와 관련된 활동을 적극적으로 참여하고, 이를 잘 기록하는 것이 좋아. 대학교 갈때, n수생과 경쟁하지 않으려면, 현역에게 유리한 수시전형으로 가는게 상대적으로 유리하니까..",,,,,,,,,,,
,,학생,"앗, 진짜요... 내신도 안좋은데... 우선 또 그렇다면 어떤 활동을 구체적으로 해야 할지 잘 모르겠어요.",,,,,,,,,,,
,,선생님,관심 희망 계열은 혹시 어느 분야이니? 꿈에대해 말해줘볼래?,,,,,,,,,,,
,,학생,아직 꿈은 정확히 못정했고요...솔직히.. 희망 계열 진로는 경영학 쪽으로 생각 중인데요.,,,,,,,,,,,
,,선생님,"경영학이라면, 경제나 기업 관련 활동에 참여해보는 것이 좋겠네요. 예를 들어, 경제 동아리나 창업 관련 프로젝트, 경시 대회 같은 활동을 추천할게.",,,,,,,,,,,
,,학생,그럼 교과목 세부능력 특기사항에는 어떤 내용을 적으면 좋을까요?,,,,,,,,,,,
,,선생님,"세부능력 특기사항은 수업 중에 적극적으로 발표하거나, 팀 프로젝트에서 리더 역할을 맡는 등의 활동을 구체적으로 기록하는 것이 좋아. 각 과목에서 어떤 역량을 키웠는지도 언급하면 좋고. 대학교 갈때 중요한 이 학생이 우리 대학교에와서 수학할 학업적 잠재력을 보옂는 것이 무엇보다 중요하게 다뤄지는 요소란다.",,,,,,,,,,,
,,학생,"과목마다 다른 내용을 적으려니 부담이 될 때가 있는데, 모든 과목에 다 기록을 잘 남겨야 하나요?",,,,,,,,,,,
,,선생님,"경영학에 가고싶다 했지? 경영, 경제 관련교과인 사회나 전반적으로 국어,또 영어, 사회 및 수학까지 잘 받으면 좋고 더 나아가 전교과에 걸쳐서 받으면 금상첨화긴하지. 그런데 다챙기기 힘들다면 ‘선택과집중’을 하는 것도 좋아.",,,,,,,,,,,
,,학생,흐앙.. 다행이에요 샘~! 전과목 다신경쓰려고 하니 순간 앞이 하얘졌었어요.,,,,,,,,,,,
,,선생님,"모든 과목을 완벽하게 관리하기는 어렵겠지만, 진로와 관련된 핵심 과목들은 신경 써서 관리해야 해요. 특히 본인이 흥미 있는 과목에서 꾸준한 성취와 참여를 보이는 것이 중요하단다.",,,,,,,,,,,
,,학생,"알겠습니다. 그럼 앞으로는 제가 활동하는 걸 더 구체적으로 기록하고, 선생님께 자주 확인받도록 하겠습니다.",,,,,,,,,,,
046,(진학) 학업,학생,"선생님, 요즘 내신 성적 때문에 고민이 많아요. 특히 수학과 과학 성적이 잘 안 나와서 걱정이에요.",,,,,,,,,,,
,,선생님,내신 관리는 매우 중요한 부분이지. 특히 수학과 과학은 개념 이해가 중요해. 어려움을 느끼는 부분이 있니?,,,,,,,,,,,
,,학생,"네, 개념은 어느 정도 알겠는데 문제풀이에서 실수가 많아요. 어떻게 하면 실수를 줄일 수 있을까요?",,,,,,,,,,,
,,선생님,"문제풀이에서 실수를 줄이기 위해서는 먼저 문제를 꼼꼼하게 읽고, 단계별로 풀이 과정을 확인하는 연습이 필요해. 평소 문제 풀이 시간을 재면서 푸는 습관도 도움이 될 거란다.",,,,,,,,,,,
,,학생,알겠습니다. 그런데 공부 습관도 잘 안 잡혀서 자주 집중력이 흐트러져요. 좋은 공부 습관을 어떻게 만들 수 있을까요?,,,,,,,,,,,
,,선생님,"우선 짧게라도 계획을 세우고, 정해진 시간 동안 집중하는 습관을 들이는 게 중요해. 너무 무리하지 말고, 일정 시간 공부하고 나서 휴식을 취하는 것도 효과적이란다.",,,,,,,,,,,
,,학생,그래도 성적이 안 오르면 어떡하죠? 공부해도 성과가 잘 안 나는 것 같아서요.,,,,,,,,,,,
,,선생님,성적이 바로 오르지 않더라도 꾸준히 하면 반드시 결과가 나와. 계단식으로 성적이 오르는 그런 경우가 있거든? 바로 선생님이 고등학교 3학년때 열심히 공부할 때 경험했었어.,,,,,,,,,,,
,,학생,선생님의 사례시라고요 ?대박,,,,,,,,,,,
,,선생님,"응, 진짜로. 중요한 건 꾸준한 복습과 반복 학습이양. 모르는 부분은 반드시 체크하고 해결하는 습관을 들이면 학업 성과도 점차 개선될 거야.",,,,,,,,,,,
,,학생,감사합니다. 앞으로는 계획을 세우고 꾸준히 실천해볼게요. 샘이 진짜로 사례로 얘기해주시니 더 하고싶은 마음이 생겼어요. 진심으로 감사드립니다.,,,,,,,,,,,
,,선생님,"응, 그래. 다음에 하다가 또 중간 점검받으러 또오렴.ㅎㅎㅎㅎㅎ",,,,,,,,,,,
047,학업,학생,선생님 저 요즘 성적이 잘 안 나와서 상담이 필요해요. 공부를 어떻게 해야 될지 모르겠어요.,,,,,,,,,,,
,,선생님,"그래, 성적 때문에 고민이 많구나. 혹시 어느 과목이 특히 어려운지, 아니면 전반적으로 힘든건지 이야기 해줄 수 있을까?",,,,,,,,,,,
,,학생,주로 수학이랑 영어가 잘 안돼요. 아무리 공부해도 점수가 잘 안 올라요.,,,,,,,,,,,
,,선생님,수학이랑 영어에서 어려움을 겪고 있구나. 공부할 때 어떻게 하고 있니? 특별한 공부 방법이 있거나 계획을 세워하고 있니?,,,,,,,,,,,
,,학생,"아뇨... 그냥 학교 수업 들은 거 복습하고 문제집 푸는 정도로 진행하고 있어요. 그런데 시간이 부족해서 다 못할 때도 많고, 계획대로 잘 안되는 거 같아요.",,,,,,,,,,,
,,선생님,"계획대로 하기 어려운 부분이 있구나. 공부 습관이랑 시간 관리에서 개선이 필요한 것 같네. 혹시 평소에 공부할 때 집중이 잘 안 되거나, 어디서부터 시작해야 할지 막막한 적도 있었니?",,,,,,,,,,,
,,학생,"네, 맞아요. 막상 책상 앞에 앉아도 집중이 잘 안되고, 할 게 많다 보니까 뭐부터 해야 할지 모르겠어요.",,,,,,,,,,,
,,선생님,"그런 경우가 자주 생기면 성적이 오르게 힘들지. 그럼, 네 공부 습관을 점검하고 어떻게하면 더 효과적으로 공부할 수 있을지 함께 방법을 찾아보면 좋을 거 같아.",,,,,,,,,,,
,,학생,네 좋아요. 어떻게 공부해야 할지 명확해지면 더 집중할 수 있을 거 같아요.,,,,,,,,,,,
,,선생님,"좋아. 그럼 다음 상담 전까지 네가 공부하는 방식과 계획을 점검해보고, 성적을 올리기 위한 구체적인 방법을 찾아보자.",,,,,,,,,,,
,,학생,넵 알겠습니다.,,,,,,,,,,,
048,학업,학생,선생님. 이번 시험을 제대로 망했어요. 요즘 부쩍 성적이 잘 안나와서 어떻게 해야 할지 모르겠어요.,,,,,,,,,,,
,,선생님,"그래, 성적이 잘 안 나와서 고민이구나. 혹시 어느 과목에서 특히 성적이 떨어졌니?",,,,,,,,,,,
,,학생,"주로 국어랑 사회 과목에서 성적이 많이 떨어졌어요. 시험 때마다 문제를 다 푼 것 같은데, 점수가 생각보다 낮게 나와요,.",,,,,,,,,,,
,,선생님,시험을 봤을 때 문제를 다 제대로 푼 것 같아도 점수가 잘 안 나오는 경우가 있지. 혹시 시험 준비는 어떻게 하고 있니? 시험 전 공부 방법이나 시간 분배 같은 걸 어떻게 하고 있는지 궁금해.,,,,,,,,,,,
,,학생,"그냥 책을 여러번 읽고, 기출문제를 풀어보고 있어요.",,,,,,,,,,,
,,선생님,그렇구나. 책을 여러 번 읽고 기출문제를 풀어보는 건 좋은 방법이야. 시험 볼 때는 어때? 시험 때마다 긴장을 많이 하는 편이니?,,,,,,,,,,,
,,학생,헐 맞아요. 시험 볼 때 너무 긴장해서 문제를 풀다가 실수하는 경우가 좀 있어요.,,,,,,,,,,,
,,선생님,"그렇구나. 시험 볼 때 긴장하는 건 누구에게나 있을 수 있는 일이야. 긴장하면 실수할 확률도 높아지고, 특히 시간에 쫓기다 보면 더 그럴 수 있어. 그럼 우리 함께 어떻게하면 시험 중 긴장을 덜 하고 실수를 줄일 수 있을지 생각해볼까?",,,,,,,,,,,
,,학생,네 선생님. 어떻게하면 긴장을 덜 할 수 있을까요?,,,,,,,,,,,
,,선생님,"우선 시험 전에 할 수 있는 마음가짐 훈련이나 시간 관리 방법을 배우는 게 중요해. 또, 시험 중에 갑자기 막막해질 때 대처할 수 있는 몇 가지 방법도 함께 연습하면 좋아. 실수 줄이기에 도움이 될 거야.",,,,,,,,,,,
,,학생,그런 방법이 있으면 좋을 거 같아요... 제가 실수만 안 하면 성적이 더 잘 나올 거 같은데....,,,,,,,,,,,
,,선생님,"실수를 줄이면 분명 성적도 더 잘 나올 거야. 그럼, 다음 상담까지 긴장감을 다스리고 시험을 차분하게 볼 수 있는 연습과 방법에 대해서 고민하고 생각해보자. 문제를 푸는 순서나 시간 배분도 함께 고민해보면 좋겠어.",,,,,,,,,,,
,,학생,"네, 감사합니다. 선생님",,,,,,,,,,,
049,학업,선생님,"상담 신청서를 보니까, 학생부 관리 때문에 왔다고 작성되어 있네요. 구체적으로 어떤 부분이 고민인가요?",,,,,,,,,,,
,,학생,"요즘 대학 보면 학생부가 중요하다고 하는데, 제가 잘 쓰고 있는건지 잘 모르겠어요.",,,,,,,,,,,
,,선생님,현재 학생부에 기재된 내용 중에서 특별히 신경 쓰이는 부분이 있나요?,,,,,,,,,,,
,,학생,"특히 수행평가 부분이요. 발표할 때 긴장해서 잘 못한 것 같은데, 그게 어떻게 기록될지 걱정이에요.",,,,,,,,,,,
,,선생님,학생부에서 수행평가 관련 기록이 주로 어디에 반영되는지 알고 있나요?,,,,,,,,,,,
,,학생,교과세특... 이라고 하던데 정확히는 잘 모르겠어요.,,,,,,,,,,,
,,선생님,"그렇군요. 그럼 먼저 교과세특이 뭔지, 어떤 내용이 들어가는지 함께 알아보는 게 좋겠네요. 그리고 나서 수행평가 내용도 같이 살펴보는 건 어떨까요?",,,,,,,,,,,
,,학생,네. 좋아요! 그리고 앞으로 어떤 걸 준비해야 할지도 알고 싶어요.,,,,,,,,,,,
,,선생님,그래요. 그럼 학생부 중에서도 특히 교과세특을 중심으로 이야기를 나눠보도록 할게요.,,,,,,,,,,,
050,학업,선생님,오늘은 어떤 이야기를 나누고 싶어서 왔나요?,,,,,,,,,,,
,,학생,"공부하는 방법을 잘 모르겠어요. 열심히 하는 것 같은데, 성적이 안 올라요.",,,,,,,,,,,
,,선생님,그렇군요. 현재 어떤 방식으로 공부하고 있나요?,,,,,,,,,,,
,,학생,교과서랑 문제집을 최대한 반복해서 풀고 있어요. 근데 시험 보면 비슷한 문제도 틀려요.,,,,,,,,,,,
,,선생님,하루에 보통 얼마나 공부하나요?,,,,,,,,,,,
,,학생,학원 다녀와서 새벽 1시까지는 하는 거 같아요. 근데 집중이 잘 안돼요,,,,,,,,,,,
,,선생님,긴 시간 동안 공부하고 있네요. 혹시 과목별로 공부하는 방식의 차이는 있나요?,,,,,,,,,,,
,,학생,아니요...... 다 비슷하게 해요. 그게 문제인가요?,,,,,,,,,,,
,,선생님,"과목별 특성에 따라 효과적인 학습 방법이 다를 수 있어요. 다음 상담에서는 네가 주로 어려움을 겪는 과목들을 중심으로, 과목별 학습 전략을 세워보는 건 어떨까요?",,,,,,,,,,,
,,학생,네! 그게 좋을 거 같아요.,,,,,,,,,,,
,,선생님,좋아요. 그럼 다음에 볼 때는 각 과목별로 어떤 부분이 어려운지 미리 생각해오면 좋겠어요.,,,,,,,,,,,
051,학업,학생,쌤 건대랑 충북대 수의학과 전년도 내용 찾아봤어요.,,,,,,,,,,,
,,선생님,OO이가 봤을 때 이해가 좀 가니?,,,,,,,,,,,
,,학생,명확하게는 모르겠지만 일단 내신 성적이 엄청 중요한 건 알겠어요.,,,,,,,,,,,
,,선생님,선생님이 보니까 수의대는 내신은 물론이고 수능이나 논술도 필요할 수도 있겠다.,,,,,,,,,,,
,,학생,저 이대로 수시 준비 괜찮을까요?,,,,,,,,,,,
,,선생님,일단 OO이 1학년 때 성적은 OK. 2학년 1학기가 조금 걱정이지만 2학기랑 3학년 때 커트라인 맞춰서 준비하면 문젠 없을 것 같네. 우선 교과전형이랑 종합전형 중에 어디에 더 목표할지 같이 계획을 짜보면 좋을 것 같아.,,,,,,,,,,,
,,학생,저.. 근데 1학년 때 활동이 거의 없어서요 학생부가 좀 약한데 괜찮을까요?,,,,,,,,,,,
,,선생님,"지금부터 알차게 준비하면 성장 곡선을 보여줄 수 있는 기회가 될 수 있으니 걱정 말고! 일단 남은 2학기부터 앞으로 내신이랑 활동, 세특 준비 어떻게 계획하고 있는지 아니면 목표 같은 것들 작성해서 준비해 올래?",,,,,,,,,,,
052,학업,학생,선생님 교과세특은 제가 따로 작성하거나 관리하는 건가요?,,,,,,,,,,,
,,선생님,"교과 선생님께서 세특과 관련되어 과제를 주시거나, 방법을 알려주실거야. 그러면 그걸 OO이가 열심히 준비해서 선생님께 제출하거나 발표를 하면 돼",,,,,,,,,,,
,,학생,아~ 제가 따로 작성하는 건 아니란 거죠?,,,,,,,,,,,
,,선생님,응응 교과 선생님께서 OO이가 제출하거나 발표하는 내용을 보고 평가를 작성해 주시는 거야,,,,,,,,,,,
,,학생,그러면 교과 선생님과도 따로 상담을 받는 게 좋을까요?,,,,,,,,,,,
,,선생님,"당연하지 그게 가장 좋은 방법이지. 근데 어떤 교과가 되었든 OO이가 이걸 왜 준비했는지, 어떤 부분에서 내가 가장 흥미로움을 느꼈고, 그게 나에게 어떤 영향을 끼쳤는지 처럼 나와, 세특 과제와 잘 연결 짓는 게 정말 중요하단다",,,,,,,,,,,
053,학업,선생님,OO이 오늘 상담받고 싶은 내용이 뭘까?,,,,,,,,,,,
,,학생,중학교랑 너무 달라서 공부를 어떻게 해야 할지 모르겠어요. ,,,,,,,,,,,
,,선생님,무엇을 공부해야 할 지 모르겠다는 걸까? 학과나 대학 정보 등 찾는 방법을 도와주면 될까?,,,,,,,,,,,
,,학생,아뇨. 목표 대학이랑 학과는 있구요. 제게 약한 과목도 알아요. 그런데 공부해야지 하다가 놀기만 해요.,,,,,,,,,,,
,,선생님,"아아~ 그러면 시간 관리랑, 공부 습관에 대해서 이야기를 하면 좋겠다.",,,,,,,,,,,
,,학생,맞아요.. 아 누가 시간마다 저를 잡아다 공부하라고 시키면 좋겠는데,,,,,,,,,,,
,,선생님,"ㅎㅎ OO아 그러면 먼저 평소 어떻게 공부를 하는지, 시간은 어떻게 관리하고 있는지 체크를 해보자. 선생님이 주는 양식에 맞춰서 답변을 써 올래?",,,,,,,,,,,
,,학생,이게 왜요? 그냥 말로만 상담해도 되지 않나요?,,,,,,,,,,,
,,선생님,"내가 생각하고 있는 것과 실제 행동하는 것에 차이가 있을 수 있거든. 때문에 먼저 OO이가 평소 시간을 어떻게 활용하고 있는지 체크해서 공부에 활용할 수 있는 시간을 알아보고, 주기적으로 활용 가능한 시간대에는 습관을 들이면 좋을 것 같아서. 우선 체크한 다음에 다시 상담을 해보자",,,,,,,,,,,
054,학업,학생,"선생님, 안녕하세요.
",,,,,,,,,,,
,,선생님,"그래, 요즘 잘 지내고 있지? 학교 생활은 어때? 재밌게 잘 다니고 있니?",,,,,,,,,,,
,,학생,그냥 그래요. 사실 성적 압박 때문에 뭘 해도 재미가 없어요.,,,,,,,,,,,
,,선생님,"성적 고민이 있나 보구나. 먼저 지난 달 모의고사나 학교 지필평가 성적을 보면서 얘기해 볼까?
",,,,,,,,,,,
,,학생,"아... 그건 좀...
",,,,,,,,,,,
,,선생님,"성적을 올리려면 나의 현 위치와 내가 도달하고자 하는 위치를 먼저 정확히 판단해야겠지? 오늘 자세하게 살펴보면 좋을 것 같아.
",,,,,,,,,,,
,,학생,😮‍💨네.,,,,,,,,,,,
,,선생님,"성적을 올리고 싶다면, 올리고자 하는 이유를 명확히 하는 게 중요해. 그 이유를 생각하면서 진학 목표나 관심 학과까지 정리해 볼 수 있거든. 성적은 부끄러워하지 않아도 돼. 오늘 이 시간에 함께 차근차근 살펴보자.
",,,,,,,,,,,
,,학생,"아, 근데 사실 제가 컴퓨터공학과에 관심이 있긴 한데...
",,,,,,,,,,,
,,선생님,"그렇구나! OO이의 성적으로 갈 수 있는 컴퓨터공학과부터 살펴볼까?
",,,,,,,,,,,
055,학업,학생,"안녕하세요.
",,,,,,,,,,,
,,선생님,"안녕, 어서 와! 오늘은 어떤 내용으로 상담할까? 궁금한 것 있니?
",,,,,,,,,,,
,,학생,"사실 진짜 공부 열심히 해야 하는데, 요즘 점점 집중력이 떨어지는 것 같아 걱정이에요. 저 스마트폰 중독인 것 같아요.",,,,,,,,,,,
,,선생님,그랬구나! 그래도 문제를 스스로 느끼고 먼저 상담을 요청해줘서 선생님은 상당히 긍정적이라고 봐.,,,,,,,,,,,
,,학생,"스마트폰 중독을 넘어 거의 의존인 것 같아요. 10분 공부하고 15분 폰을 봐요. 계속 이러면 성적이 떨어질 것 같은데 솔직히 스카 갈 때 집에 폰 두고 가기 싫어요. 이것도 중독 같아요.
",,,,,,,,,,,
,,선생님,"하루 중 시간을 정해서 스마트폰에게 쉬는 시간을 주고, OO이도 공부 내용에 집중할 수 있는 시간을 만들어 보도록 하자.
",,,,,,,,,,,
,,학생,"스마트폰 집에 두고 스카 가기... 하루 이틀 하다가 또 때려칠 것 같아서 두려워요.
",,,,,,,,,,,
,,선생님,"OO이에게 맞는 폰 중독에서 벗어날 수 있는 방법을 생각해 보자. 그리고 지속적으로 방법을 실천할 수 있는 구체적인 계획도 세우는 게 좋을 것 같아.
",,,,,,,,,,,
,,학생,"솔직히 답은 나와 있는데, 제 의지가 문제인 것 같기도 해요. 선생님이 좀 도와주시면 제가 노력해 볼게요.",,,,,,,,,,,
,,선생님,"그런 마음이라면 충분히 이겨낼 수 있을 거야.
",,,,,,,,,,,
056,학업,선생님,"안녕, OO아! 상담실에 온 걸 환영해",,,,,,,,,,,
,,학생,"네, 선생님. 안녕하세요...",,,,,,,,,,,
,,선생님,"그래, 오늘 이야기해 볼 내용이 무엇일까? ",,,,,,,,,,,
,,학생,"선생님, 제가 미대 입시를 준비하고 있잖아요.",,,,,,,,,,,
,,선생님,"그래, 실기와 내신을 함께 챙기다 보니 많이 바쁘지?",,,,,,,,,,,
,,학생,"바로 그거예요! 사실 상위권 미대는 수학 내신을 반영하거든요. 그런데 제가 미술학원 끝나면 저녁 늦은 시간이고, 급한대로 국어랑 영어 공부를 우선 하거든요.",,,,,,,,,,,
,,선생님,아무래도 수학 교과까지 챙길 시간이 부족하구나.,,,,,,,,,,,
,,학생,"네. 뭐, 핑계일 수도 있지만...",,,,,,,,,,,
,,선생님,OO이는 어느 대학교 미술대학을 목표로 하고 있니? 우선 그 학교에 합격한 입학생들이 어느 정도 내신 성적을 유지했었는지를 알아봐야 할 것 같은데? ,,,,,,,,,,,
,,학생,맞아요. 그런데 고민이 또 있어요. 제가 공부를 해도 수학 내신 성적을 얼마나 올릴 수 있을지 모르겠어요. 차라리 그 시간에 국어 공부를 많이 해야 할 것 같기도 해서요.,,,,,,,,,,,
,,선생님,OO이의 고민이 너무 공감된다. 선생님이 OO이었어도 굉장히 고민을 많이 하고 있을 것 같아. 한번 OO이가 목표로 하는 미대들의 내신 성적과 OO이의 내신 성적을 동시에 살펴보면서 얘기해 볼까?,,,,,,,,,,,
057,학업,학생,"쌤 저는 원래 성적 상위권이었는데요, 고등학교 와서 1학기에 슬럼프도 오고 시험도 제대로 못봐서 3.9등급이 나왔어요. 지금 목표는 연고대 경영학과인데 어느 정도로 성적을 올려야 가능할까요?",,,,,,,,,,,
,,선생님,04이가 슬럼프를 겪은 후에 성적이 낮아져서 고민이 많구나. 공부하는 데 어떤 점이 가장 어려웠니?,,,,,,,,,,,
,,학생,"열심히 안한 건 아닌데, 성적이 그만큼 안나오니까요. ",,,,,,,,,,,
,,선생님,내가 한 만큼 결과가 나오지 않는 건 굉장히 답답하고 속상하지. 하지만 슬럼프를 겪는 건 말하지 않아서 그렇지 흔한 일이야. 중요한 건 어떻게 극복해서 학교 생활과 공부하는 데에 적응할지라고 봐. 04이는 슬럼프를 벗어나려고 특별히 시도해본 것이 있니?,,,,,,,,,,,
,,학생,우선 플래너를 작성하고 있긴 해요. 어쨌든 연고대 가려면 성적을 무조건 올려야 하니까요.,,,,,,,,,,,
,,선생님,학습량이나 시간을 관리하는 건 좋은 방법이야. 목표한 대학에 가려면 얼마나 성적을 올려야 하는 지는 이전 입시자료를 같이 비교해보면서 상담을 하면 좋을 것 같다.,,,,,,,,,,,
,,학생,네 감사합니다. ,,,,,,,,,,,
,,선생님,그래 공부법이랑 성적 관련해서 상담하는 걸로 하자.,,,,,,,,,,,
,,학생,네 안녕히계세요,,,,,,,,,,,
058,학업,학생,안녕하세요. 저는 베이스로 실용음악과에 가서 중학교 음악교사를 하고 싶은데요. 제대로 배운건 아니지만 독학하는 사람 중에서는 잘해요. 그런데 입시 준비랑 내신은 어떻게 해야할지 모르겠어요. 동아리도 그렇고 세특 중요하다고 하는데 어떻게 잘 잡하야하는 걸까요?,,,,,,,,,,,
,,선생님,04이가 음악 교사가 되고 싶어하는구나. 악기 배우는 거는 빠를 수록 좋은 것 같아. 혹시 악기 연주하는 것 외에 따로 하고있는 활동이 있을까?,,,,,,,,,,,
,,학생,아니요. 이제 동아리를 하러고 하고 있어요.,,,,,,,,,,,
,,선생님,동아리에 참여하는 건 좋은 선택이지! 실용음악과를 목표로 하고 있으니 음악 교과목이랑 음악과 관련된 동아리 활동을 하면 유리하게 활용할 수 있을 거야. 목표로 생각하고 있는 대학은 있니?,,,,,,,,,,,
,,학생,아니요 아직은 없는데 이제 찾아볼 생각이에요.,,,,,,,,,,,
